,Name,Description,x,y
10,Borough High Street,"January 22, 1945, 35 Dead. Not shown on war damage map, but inferred from http://www.flyingbombsandrockets.com/V1_summary_se1.html",-0.090251,51.504923
11,St Pancras Presbyterian Church,"February 9, 1945, 34 Dead",-0.122985,51.526194
12,Barnby Street,"March 1, 1945, 30 Dead<br>http://www.bbc.co.uk/ww2peopleswar/stories/86/a3332486.shtml<br><br><br> <br>Location confirmed from County Borough of West Ham Defence Map.",0.004592,51.536953
13,Shooters Hill Road,"November 11, 1944, 29 dead<br><br>Casualties, 22 to Brook/St Alfege Hospitals. Building completely destroyed. Many casualties were on 89 bus passing at time of explosion.",0.046188,51.472689
14,Crownfield Road,"February 17, 1945, 25 Dead<br>http://www.bbc.co.uk/ww2peopleswar/stories/27/a4132027.shtml<br><br><br> <br>Location confirmed from County Borough of West Ham Civil Defence Map.",4.8e-05,51.551732
15,Finland Road,"February 2, 1945, 24 Dead. Blast zone clearly visible in satellite view.",-0.042175,51.462724
16,"Friern Road, Dulwich","November 1, 1944, 24 Dead",-0.071036,51.448732
17,Albert Road,"March 16, 1945, 23 Dead http://www.flickr.com/photos/7291934@N08/3086949199/",-0.004283,51.564888
18,"Gordon Hill, Enfield","January 25, 1945, 21 Dead. Reader contribution from Alan.<br>""Enfield , Gordon Hill on this day 25th January 1945 , a V2 landed between gardens at top of Gordon and Lavender Hills, approx 7.30 am in the Morning , RIP Elizabeth Hayes (Great Aunt) plus twenty others . Crater can still be seen on Google earth as dark shape in back Gardens of rebuilt houses One survivor, rescured from the back of the house (no 111) lived onto to be a hundred spending the rest of his live at Worthing in Sussex.""",-0.090854,51.663475
19,Southborough Lane,"November 19, 1944, 21 Dead. Reader contribution.<br>Conflicting report on BBC suggests over 100 dead, while 'Doodlebugs and Rockets' claims 24<br>. <br>http://www.bbc.co.uk/ww2peopleswar/stories/74/a6027374.shtml",0.054529,51.390209
20,Varcoe Road,"December 6, 1944, 20 Dead.",-0.057968,51.485211
21,Plaistow Road,"January 4, 1945, 20 Dead<br>http://www.raynham.org/content/view/54/55/<br><br><br> <br>Location confirmed from County Borough of West Ham Defence Map.",0.012081,51.534164
22,Sunfields Place,"November 30, 1944, 19 dead<br>http://www.sunfieldschurch.org.uk/historyofsunfields.html",0.025148,51.476799
23,Duke Street,"December 6, 1944, 18 Dead. Part of Selfridges demolished as well as the Red Lion pub.",-0.151663,51.514752
24,Trafalgar Avenue,"February 14, 1945, 18 Dead",-0.074501,51.48459
25,"Bawn's Factory, Blackhorse Lane","February 1945, 17 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.04055,51.594219
26,Great Dover Street,"December 14, 1944, 17 Dead. Destroyed the Virginia Plant pub.",-0.088234,51.495966
27,Albany Road,"December 17, 1944, 17 Dead.",-0.080938,51.485899
28,Usk Road,"<img src=""https://lh5.googleusercontent.com/proxy/MKlw6vVsBy_GLWz7xc-jKJZ6G0L303pUkPEkLD7QERiDsI6jRhhj7T47JFroQQGHRCzD9RU7rGTfA6cLRL4V3zoC4Gp3JoS6VFKl8T8LHDTAhnWuLEWxP5p32KEvMrObMbLYoV-8ReFpdmwX2bfQrLlWGxKtxysFUT4fEL6FvPPW"" height=""200"" width=""auto"" /><br><br>January 27, 1945, 17 Dead",-0.182685,51.463677
29,Chingford Road,"February 1944, 16 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.016463,51.606541
30,Freemasons Road,"January 13, 1945, 15 Dead<br>http://www.raynham.org/content/view/54/55/<br><br><br> <br>Location confirmed from County Borough of West Ham Defence Map.",0.025331,51.512969
31,Adolphus Street,"January 19, 1945, 15 dead.<br>'Doodlebugs and Rockets' has this as Adolphos Road, on January 6, with 20 dead.<br><br>http://www.flyingbombsandrockets.com/V1_summary_se8.html",-0.029451,51.479626
32,Adelaide Avenue,"September 17, 1944, 14 Dead. Blast zone still clearly visible in satellite view.",-0.02458,51.4575
33,Panmure Road,"January 14, 1945, 14 Dead",-0.062844,51.433563
34,Brockley Road,"February 11, 1945, 14 Dead.",-0.036953,51.455011
35,"Ley Street, Illford","February 18, 1945, 14 Dead.<br>http://www.bbc.co.uk/ww2peopleswar/stories/01/a8213401.shtml",0.071594,51.559997
36,Woolwich Common,"March 17, 1945, 14 Dead.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.<br><br>14 fatal casualties (AC1 & Mrs Banner 36 Jackson St, Mrs Dear & Miss Dear 28 Jackson St, Mr & Mrs Wilmshurst 24 Jackson St, Sgt Baughton 23 Jackson St, Tony (6) & Jacqueline Sault (4) 24 Jackson St, Mrs Scrivener 26 Jackson St, Mr & Mrs Starkie 20 Jackson St, Mrs Darby 6 Millward St, Mrs Deane 22 Jackson St) 43 casualties to Brook and War Memorial Hospitals, 10 treated at FAP, 61 at Mobile Unit, 30 by Wardens - 144 in total. 76 people sent to Slade Rest Centre. 9 houses in Jackson St demolished, further 39 in Jackson and Millward Streets to be demolished. 44 houses in Jackson Street, Engineer Road, Millward Street, Gildsome Street and Spearman Street seriously damaged",0.062463,51.480615
37,Regina Road,"December 31, 1944, 13 Dead<br><br>From reader MJN: ""You can see footage of the bombing of Regina Road/Stroud Green toward the end of this clip http://www.britishpathe.com/record.php?id=13244""",-0.11577,51.569968
38,Duncroft,"February 26, 1945, 13 Dead.<br><br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett",0.090262,51.474701
39,Calton Road,"January 20, 1945, 12 dead. Source http://ww2db.com/event/today/1/20/.<br><br>Comment from Winnie: I lived in Longmore Avenue, No 48 with my family after we were evacuated from Silver Town. I was just 4 when the V2 struck Calton Road just after lunch. I remember I was sitting on my sister lap at the time of the explosion, she fainted. All the doors and windows were blown in and there was glass everywhere. We has some Canadian soldiers in the house at the time the V2 hit they along with my Father rushed over to Calton Road to help the injured. I believe that there was a horse drawn milk float in the road at the time the V2 struck both the roundsmen and the poor horse were killed along with 12 others in the houses on the north side of the road. Our house escaped much of the damage due to the row of houses across the road from us that took most of the blast. Later I lived in West End Lane , High Barnet where just across the road from my house and the Lord Nelson Pub, in Bells Hill another bomb ( I think it was an Aerial Land Mine) killed a lot of people. I was only made aware of this much later after the war.",-0.173678,51.642481
40,Moordown,"February 20, 1945, 12 Dead<br><br>Hit 66-70 Moordown. <br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.067608,51.474718
41,Billet Road,"February 1944, 10 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.027565,51.599502
42,Blackhorse Road,"December 1944, 10 Dead (plus possibly more, later in hospital). Reader contribution. More details http://tinyurl.com/d466y6<br><br>From reader Desmond: ""I live in longfield aveune, and a V2 landed in my street in 1944, it destroyed the houses that were at the end of the street, there are flats there now, and on the other side of Blackhorse road which it also destroyed. the flats were bulid in 1952.""",-0.037261,51.584557
43,New City Road,"March 1945, ~10 Dead<br><br> <br>Location confirmed from County Borough of West Ham Defence Map.<br><br>Comment from reader Graham Rogers"" ""It landed on Dillerways the bakery killing around 10 I was told.""<br><br>Comment from reader Mikanmon: ""My grandfather lived at No 1 Lichfield Road and had stayed home from work unwell that day in March 1945. He was sleeping in the armchair with his Cocker Spaniel on his lap when the blast hit. It took rescuers and family over 15 hours to find him and dig him out, still alive. The family put his survival down to his loyal canine absorbing some of the impact from falling debris.  I was 8 years old at the time and my mother told me that it was impossible to seperate the streets as the whole area was a mass of rubble.""<br><br> <br>Comment from 'Mikanmon': My grandfather lived at No 1 Lichfield Road and had stayed home from work unwell that day in March 1945. He was sleeping in the armchair with his Cocker Spaniel on his lap when the blast hit. It took rescuers and family over 15 hours to find him and dig him out, still alive. The family put his survival down to his loyal canine absorbing some of the impact from falling debris.  I was 8 years old at the time and my mother told me that it was impossible to seperate the streets as the whole area was a mass of rubble.<br><br><br>Comment by Andrew Walker: Your grandfather was certainly lucky. At least ten people died around breakfast time on 8th March 1945, 6 in Boundary Road and 4 in Lichfield Road (at numbers 2 and 4). Look for a book called ""London's East End Survivors"" by Andrew Bissell and on pages 213-214 a lady whose mother was killed at 2 Lichfield Road gives her memories; there are pictures of her family on page 215. A few hours after this V2 landed another one fell in Smithfield Market.",0.039428,51.524856
44,Sutton-at-Hone,"March 14, 1944, 10 dead<br>Location unknown, but near a fish bar and butchers. From 'Doodlebugs and Rockets'",0.237279,51.408201
45,Wickham Road,"March 11, 1945, 9 Dead.",-0.033597,51.46255
46,"Endsleigh Gardens, Ilford","March 8, 1945, 9 dead.<br>From 'Doodlebugs and Rockets'. Aerial image included.",0.058354,51.563179
47,"Wickenden Road, Sevenoakes","March 3, 1945, 9 dead.<br>Exact spot can be matched in Street View with image in 'Doodlebugs and Rockets'",0.198897,51.286366
48,Peckham,"November 19, 1944, 9 Dead",-0.06742,51.474246
49,Whitfield Street Tabernacle,"March 25, 1945,<br>9 Dead",-0.135301,51.521128
50,Crystal Palace Road,"March 15, 1945, 9 Dead.",-0.070612,51.426163
51,Blake Hall Crescent,"October 4, 1944, 8 Dead",0.024312,51.56521
52,Southwark Park Road 1,"October 26, 1944, 8 Dead.",-0.060661,51.492192
53,Longacre Road,"November 1944, 8 Dead. Reader contribution. More details http://tinyurl.com/d466y6",0.001266,51.598839
54,"Milton Road, Gravesend","November 29, 1944, 8 dead<br>'just outside Fort Gardens',<br><br>http://www.discovergravesham.co.uk/gravesend-chronology/1942-1948.html",0.376008,51.443075
55,Lemna Road,"February 10, 1945, 8.21 am. 8 Dead. (Information from reader comment.) Eyewitness comment: ""When the V2 rocket dropped on Lemna road Leytonstone that weekend my father was at home and he went down and saw a womans hand sticking out of the rubble. He dug with his hands until he exposed her face believe she was still breathing but we never did a follow up to see if she survived. It was a Saturday so although my infant school was bombed no children were there it also destroyed part of the Rialto Cinema. When the new type rocket dropped in leyton it evidently I was told killed a woman post officer. I was playing in my school playground at Connaught road school and as usual gazing up at the clouds to imagine pictures when what looked like a slim silver pencil was going across the sky. Of course I screamed out for everyone to look because had never seen anything like it! They were completely silent on their approach unlike the V1 and remember having to go to the headmasters study where I believe a man from the ministry asked me to describe it and draw it. I later found out in dropped in Leyton not far from my school. It must have been play break at the school as was playing in the playground and remember it was a lovely sunny day. Just thought would share this with you. Have so many memories of the war years and living in Leytonstone as a child luckily we never had a direct hit plenty of blasts though all the time. Would love to know if that lady in Lemna road survived I believe it was a block of flats! Perhaps I will receive some replies to this?"" - from Christine Brennan.",0.011233,51.570038
56,Dairsee Road,"September 14, 1944, 7 dead<br>Numbers 130-138 destroyed.<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.066315,51.462941
57,Angus Street,"October 28, 1944, 7 Dead. Airburst over Woolwich. Debris hit Blackheath and New Cross.",-0.03547,51.477908
58,"Eglinton Road, Woolwich","November 1, 1944, 7 dead<br>Between numbers 130-140",0.067828,51.480364
59,Sherard Road,"November 14, 1944, 7 dead.<br>Rear of 52 Sherard Road.<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.049986,51.454368
60,Court Lane,"January 6, 1945, 7 Dead",-0.08067,51.449113
61,"Fairfield Road, Epping","<img src=""https://lh6.googleusercontent.com/proxy/DafPsasDLPbtY2WQxIkN1i2ZZ1qC3iAUNK5J1Rj9a3J4DeBoxuKjJhGhQUB2_BPC0eqIiKl-A5O3ltiLKq8QEwidr2Au"" height=""200"" width=""auto"" /><br><br>March 22, 1945, 7 Dead<br>http://www.fylde.demon.co.uk/duffell2.htm",0.121204,51.704198
62,College Road,"March 1945, 6 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.008141,51.578776
63,Farnan Avenue,"14 September 1944, 6 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.015428,51.590516
64,Regina Road,"October 20, 1944, 6 Dead. Rough location from http://www.flyingbombsandrockets.com/V1_summary_se25.html",-0.068756,51.401274
65,"Portland Avenue, Gravesend","November 13, 1944, 5 dead<br>(one source claims 4 dead)<br>http://www.discovergravesham.co.uk/gravesend-chronology/1942-1948.html",0.373814,51.430387
66,Abbotts Gardens,"November 15, 1944, 5 Dead<br>Location: No.s 107-113<br>Reader contribution<br><br>http://www.the-archer.co.uk/archive/2009/2009Jan12.pdf<br><br>Comment from Mike Rowden: I was born and lived at 221 East End Road, opposite the junctiom to Abbots Gdns Finchley, North London in January17 1938 and my sister  April 25 1939 so my recollections of the war are limited to the closing phase.<br><br>On November 15, 1944, Pauline and I had<br>come home from school as usual, and Mum told us that if we behaved ourselves we would have tea in the front room in front of the fire and she would tell us a story. Now we were classic siblings and were always looking to annoy each other and that day was no exception and eventually Mum could take it no longer and we<br>were confined to have tea in the kitchen at the back of the house, mainly in silence.<br><br>About halfway through the meal there was an enormous explosion, the front of the Ideal boiler bounced up and down, the front door had been blown down the corridor to collide with the kitchen door  and all the windows in the front were blown in, but the three of us were thankfully uninjured.<br><br>A v2 had landed about a quarter of a mile away, the houses in between had taken the brunt of the damage but the house was damaged, roof tiles slipped but as far as I remember mainly inhabitable. As a six year old I was terrified and<br>apparently fled next door as my mother went outside to see the gathering mushroom cloud.  Later reports noted four deaths and of course several injured, one later I learned was the wife of my future choir master who was blinded.  I<br>cannot remember where we spent the night but I had two sets of grandparents living not far away,<br><br>Later when my mother examined the lounge, our front room, the piano that was facing the windows was peppered with shards of glass. <br>Had we all been sitting in front of the fire as originally planned we could have been severely injured by the blast or flying glass.<br><br>I have often thought that as we were quarrelsome and mischievous children we<br>escaped intact.",-0.172734,51.588733
67,Battersea Park Road,"November 21, 1944, 5 Dead<br><br>Comment from anonymous reader: ""The five dead reported included a man and wife who owned a toy shop close to Simpson Street. Early in the war I used to spend a lot of time in that shop, they were very kind in their dealings with boys. The V2 exploded during the hours of darkness and woke me. It completely demolished the row of shops and the church at the crossroads of Battersea Park Road and Falcon Road.""<br><br>Comment from Ted Dexter: ""I believe that my grandmother (and her boyfriend) were two of the five killed in the Battersea Park V2 explosion on the 21st of November 1944.  I have read an account of the memories of the toy shop husband and wife killed during this attack- which were so touching on  http://www.flyingbombsandrocke....  Just wondered if anybody else has any information/memories or connections to this event.  My grandmother was called Alice Quiggley or perhaps Gardner.  I don't know the name of her boyfriend., but think that they both worked in the local cinema together and were in bed at the time the rocket hit the house.""",-0.16987,51.470497
68,"Royal Arsenal, Area D78","November 27, 1944, 5 Dead.<br><br>Approx location from http://www.royalarsenalwoolwich.org.uk/ArsenalMap1931.jpeg<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.073171,51.492687
69,Green Lane,"November 29, 1944, 5 Dead.<br><br>Rear of numbers 17-19.<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.064754,51.442148
70,"Belmont Road, Erith","February 1945, 5 dead<br>Location inferred from housing patterns.",0.14661,51.473264
71,Woodford New Road,"March 1945, 5 Dead. Reader contribution. More details http://tinyurl.com/d466y6",0.011512,51.595608
72,Holmes Avenue,"November 1944, 4 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.026321,51.590118
73,Mornington Road,"November 27, 1944, 4 Dead<br><br>Reader comment: ""my nan's road - mornington road in leytonstone was hit by a V2 as shown on the map & her house totally wiped out. thank god she survived as she was heavily pregnant with my dad at the time but she was badly injured & was found at the bottom of her garden. her daughter - my aunt was found in a wardrobe she would of been nearly 3 yeras old, she also survived. apparently my grandad when AWOL from the army when he found out to get home to her!""",0.013636,51.567474
74,Greenwich Church Street,"January 24, 1945, 4 Dead<br><br>Fell by Westminster Bank.",-0.008967,51.480245
75,Staveley Road,"<img src=""https://lh5.googleusercontent.com/proxy/RR94utcf9yRSRGty7aw_kE68ZumMAzDDJdqIhWJEv47vxlgZ0Zs52S7_7Bi1HanLr4afd2pKF6NZzyqjeXYkpaBH8T0ua3o"" height=""200"" width=""auto"" /><br><br>September 8, 1944, 3 Dead. First V2 attack.",-0.263978,51.481944
76,Southwark Park Road 2,"November 5, 1944, 3 Dead. Possible witness testimony from website: ""I have a recorded conversation with my Uncle Dave Holley who remembers a V2 rocket falling on Raymouth Road in Bermondsey. It fell at the Southwark Park end of the road and demolished a hotel.He said it made a terrific bang and there was a smell of explosive, all the doors and windows blew open and a piece of paneling came off of his kitchen door.He popped up the road to see what had happened.He said when he got to Raymouth Road it was empty, nobody was about at first. There was lots of broken glass on the floor.He said he went a bit further up the road and noticed that there was a lady who was about 45-50 and who was holding a toddlers hand. The lady was running up and down and shouting out something she looked really confused and shocked.She crossed the road towards my Uncle and kept shouting out ""what shall I do,what shall I do!?"" the little toddler was very scared. My Uncle asked her whats the matter,whats happened? She said they have just killed my husband.He asked her how did it happen?. She explained that she had been in a house at the top of the road and opposite where she was there was a hotel, she said that thing came over referring to the rocket. She explained that her husband was not a drinking man but every Sunday before dinner was cooked he would nip over to the hotel and play a round of draughts with his mates.He would always come back in time for dinner. On this occasion he told her he was going over there and would be back shortly.However the rocket came over and must of hit the hotel as there was now a massive hole where it had been that stretched from the back of the gardens right across the road,blowing the basements out.She said that there had been a massive explosion which blew the roof of the hotel up with it crashing down into the hole where the hotel had been. She said my husband was in there. My Uncle said she was besides herself she didn't know what she was doing.He asked her if she knew anybody who lived in the area? at first she said no but then she recalled that her daughter and son in law lived in a house just a little way down the road.She was so shocked she had forgotten.My Uncle said it was terrible having someone come up to you and say there husband was dead like that,he really didn't know what to say.""",-0.060232,51.492126
77,Sydney Road,"November 10, 1944, 3 Dead<br><br>Reader contribution.<br><br>Reader comment from P Ryder: ""I lived six houses from where the last house was destroyed completely in Sydney Rd N8. All I remember was the bang and all the dust. most of the internasl walls were demolished and you could see from the road through the house into the back garden. Only three people were killed the milkman and a woman and her grand-daughter. I was told that I was partialy deaf for about thrre weeks after the explosion.""<br><br>Comment from Nick: My mother was 17 when her parents house in Sydney Road Muswell hill was hit by a V2. They all survived (she was at the pictures) but others in the road didn't. One was a sailor, she remembers, home on leave. I'll try to pinpoint exactly where she lived next time I ring her.",-0.108302,51.588623
78,Croham Valley Road,"December 29, 1944, 3 Dead<br><br>Comment from reader Dennis: ""Extract from ""Croydon & the second world war"" Page 113 The Rocket. On the night of 29th December,1944 one fell immediately behind ""Undercliff"" at the junction of Conduit Lane & Chroham Valley Road. Three peple were killed. At that time I was a paper boy and when I went to deliver the paper the next morning all I found was the most enormous crater and the house completely destroyed. In this book there is a mass of detaied facts about all the raids non Croydon during the war. """,-0.077146,51.358088
79,King George Lock,"February 10, 1945, 3 Dead.<br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.<br><br>Eye witness account: http://gihs.gold.ac.uk/gihs22.html<br><br>Location confirmed from West Ham County Borough Defence Map.",0.070403,51.502959
80,Glenhurst Road,"March 1945, 3 Dead.<br><br>Based on reader comment from Valerie: ""A V2 bomb fell in Glenhurst Avenue,Bexley sometime in 1944 in the early hours of the morning.I was a child between 6 and 7 at the time. Five of us survived in our house which blew to smithereens.It was the first night that we didn't go down to the Anderson Shelter which was located at the bottom of the garden.Three people were killed in our Avenue.One house was on fire from which a pregnant lady jumped from an upstairs window.my Sister Marion and I were rescued by some American Soldiers that were billeted near by.I can remember seeing a massive crater in the middle of the road.The houses were rebuilt and we eventually returned.""<br><br>Location and date unknown.<br><br>Another comment from Valerie: ""I feel it is important that I amend a detail that I previously reported about a V2 bomb falling in Glenhurst Avenue, Bexley. my Sister Marion after finding some old letters written by our Mother to our Father who at the time was fighting in Burma,told me that the V2 bomb actually fell at the beginning of March 1945, just 2 months before the end of the war. How unlucky was that ? Two other details come to mind about that terrible night. We all remembered our Grandfather emerging through the rubble in his woolly combs.and shouting above the chaos that he couldn't find his trousers. Also it was reported that our immediate neighbours Mr.and Mrs.Biss were blown straight through their roof and found themselves,still in bed at the bottom of the garden. (unharmed I might add)""",0.14043,51.439015
81,Kidbrooke Church,"March 2, 1945, 3 Dead<br><br>3 to hospital, 3 to FAP. Church demolished, blast damage to 15-133 Rochester Way, 44 Wricklemarsh Road<br><br>Data courtesy of Steve Hunnisett.<br><br>From reader davidb: ""I was asleep in the in the basement of those old three storey Georgian houses. The impact was around 51°28'N 1°23', roughly halfway between ""Stop 9"" and St James church on the Google map. Our half of the house was later pulled down, but St James' church only lost its tiles and its spire. Considering how close the explosion was, that very much bears out ""Blitz Street""'s conclusion that blast damage from V2's was strictly limited. We knew that at the time. <br>Sorry can't help with the date. I wish I knew. It must hve been a late one, because we had already been bombed out by a V1.""",0.022976,51.471283
82,Parkers Row,"March 2, 1945, 3 Dead.",-0.071143,51.500074
83,Siebert Road,"March 8, 1945, 3 Dead<br><br>81 to hospital. 20 houses for demolition, 200 further affected",0.02061,51.479682
84,Marble Arch,"March 18, 1945, 3 Dead,<br>Eyewitness account (http://www.telegraph.co.uk/news/newstopics/britainatwar/britainatwarreadersmemories/3453153/Britain-at-War-V2-rocket-explosion-in-Hyde-Park.html)",-0.159452,51.512128
85,Chatsworth Way,"September 17, 1944, 2 dead",-0.101173,51.436032
86,Wendover Road,"December 13, 1944, 2 Dead.<br><br>Hit number 48. <br>Source: Woolwich Civil Defence Logs courtesy of Steve Hunnisett.",0.040405,51.462951
87,Aldborough Road,"November 1944, 2 dead (at least). Strike in front of the Dick Turpin pub killed the landlord Phil Perkins and an airman cycling past. Information from John Roper by email, with stories collected here: http://www.williamtorbitt.co.uk/wartime_memories.asp",0.102181,51.585067
88,112-126 Iverson Road,"<img src=""https://lh4.googleusercontent.com/proxy/BnUkO7ZBR8O9sT6YRHWzjxkaS92FZj1LNJAS-zbQIdEBYN_E9w7k3CeJzvhbctrQ_MNogL7FpohibpIN5qWL1ZBwPxZyoUtTvbV7dHaKF1YtrcAYj2hKDPL0eWAKtzsw9xn5GNrBk8VBI3gFnf_H4XVSNxxOoIxEXDg1enB8kGzX"" height=""200"" width=""auto"" /><br><br>January 8, 1945, 2 Dead<br> <br><br><br> <br>Full account here: http://www.northwest6.net/2010/02/v2-rocket-attack-remembered.html",-0.196893,51.54673
89,Vanbrugh Park,"February 19, 1945, 2 Dead<br><br>15 to hospital, 6 to FAP. Homeless to Rectory Field Rest Centre",0.014269,51.476913
90,Brook Hospital,"February 20, 1945, 2 dead.",0.047722,51.471252
91,Greenwich High Road,"February 22, 1945, 2 Dead<br><br>35 to hospital. Randall Place LR Depot damaged, railway blocked, extensive superficial damage to Town Hall, shops demolished",-0.010579,51.479492
92,"Highbridge Street, Waltham Abbey","March 7, 1945, 2 dead.<br>From 'Doodlebugs and rockets', where a photo can be found.",-0.006748,51.68736
93,White Hart Lane,"March 15, 1945, 2 Dead<br>http://www.faithforduty.co.uk/TGS/v2main.htm",-0.074973,51.606038
94,Banstead Mental Asylum,"November 1944, 2 dead<br><br>http://www.socyberty.com/Military/108-Interesting-Facts-Pertaining-to-the-German-V1-and-V2-Flying-Bombs-of-World-War-II.564811",-0.190791,51.334768
95,Warwick Reservoir West,"October 1944, 1 Dead. Reader contribution. More details http://tinyurl.com/d466y6",-0.05689,51.573246
96,"Royal Norwich Golf Club, Norfolk","October 3, 1944, 1 dead.<br>Location unknown",1.261497,52.658216
97,Gordon Avenue,"November 1944, 1 Dead. Reader contribution. More details http://tinyurl.com/d466y6",0.006697,51.608618
98,73-123 Kinveachy Gardens,"November 14, 1944, 1 dead.",0.045244,51.486721
99,24 Aldeburgh Street,"November 23, 1944, 1 dead.<br><br>Data courtesy of Steve Hunnisett.",0.018711,51.488385
